timestamp,n_items,elapsed_seconds
2025-11-10T18:21:23,10,0.000007
2025-11-10T18:21:23,10,0.000007
2025-11-10T18:21:23,10,0.000005
2025-11-10T18:21:23,20,0.000017
2025-11-10T18:21:23,20,0.000021
2025-11-10T18:21:23,20,0.000015
2025-11-10T18:21:23,40,0.000053
2025-11-10T18:21:23,40,0.000062
2025-11-10T18:21:23,40,0.000066
2025-11-10T18:21:23,80,0.000250
2025-11-10T18:21:23,80,0.000276
2025-11-10T18:21:23,80,0.000261
2025-11-10T18:21:23,160,0.001007
2025-11-10T18:21:23,160,0.000980
2025-11-10T18:21:23,160,0.001036
2025-11-10T18:21:23,320,0.004245
2025-11-10T18:21:23,320,0.003944
2025-11-10T18:21:23,320,0.004129
2025-11-10T18:21:23,640,0.017645
2025-11-10T18:21:23,640,0.017635
2025-11-10T18:21:23,640,0.017409
2025-11-10T18:21:23,1000,0.045173
2025-11-10T18:21:23,1000,0.044964
2025-11-10T18:21:23,1000,0.044949
2025-11-10T18:23:17,100,0.000466
2025-11-10T18:23:17,100,0.000390
2025-11-10T18:23:17,100,0.000413
2025-11-10T18:23:17,200,0.001513
2025-11-10T18:23:17,200,0.001545
2025-11-10T18:23:17,200,0.001541
2025-11-10T18:23:17,400,0.006495
2025-11-10T18:23:17,400,0.006511
2025-11-10T18:23:17,400,0.006294
2025-11-10T18:23:17,800,0.028501
2025-11-10T18:23:17,800,0.028394
2025-11-10T18:23:17,800,0.028285
2025-11-10T18:23:17,1600,0.118597
2025-11-10T18:23:18,1600,0.120339
2025-11-10T18:23:18,1600,0.120994
2025-11-10T18:23:18,3200,0.484198
2025-11-10T18:23:19,3200,0.481656
2025-11-10T18:23:19,3200,0.482840
2025-11-10T18:23:21,6400,1.946691
2025-11-10T18:23:23,6400,1.986330
2025-11-10T18:23:25,6400,1.998971
2025-11-10T18:23:30,10000,4.828249
2025-11-10T18:23:35,10000,4.846745
2025-11-10T18:23:40,10000,4.839383
2025-11-10T18:30:59,100,0.000412
2025-11-10T18:30:59,100,0.000403
2025-11-10T18:30:59,100,0.000410
2025-11-10T18:30:59,200,0.001541
2025-11-10T18:30:59,200,0.001527
2025-11-10T18:30:59,200,0.001488
2025-11-10T18:30:59,400,0.006573
2025-11-10T18:30:59,400,0.006383
2025-11-10T18:30:59,400,0.006568
2025-11-10T18:31:00,800,0.028211
2025-11-10T18:31:00,800,0.028484
2025-11-10T18:31:00,800,0.028804
2025-11-10T18:31:00,1600,0.119876
2025-11-10T18:31:00,1600,0.118870
2025-11-10T18:31:00,1600,0.119075
2025-11-10T18:31:00,3200,0.492345
2025-11-10T18:31:01,3200,0.484595
2025-11-10T18:31:01,3200,0.484799
2025-11-10T18:31:03,6400,1.984700
2025-11-10T18:31:05,6400,1.965148
2025-11-10T18:31:07,6400,1.973021
2025-11-10T18:31:12,10000,4.852178
2025-11-10T18:31:17,10000,4.871230
2025-11-10T18:31:22,10000,4.870589
2025-11-10T18:31:42,20000,19.899824
2025-11-10T18:32:02,20000,19.873316
2025-11-10T18:32:21,20000,19.159670
2025-11-10T18:33:05,30000,44.459905
2025-11-10T18:33:36,100,0.000392
2025-11-10T18:33:36,100,0.000390
2025-11-10T18:33:36,100,0.000408
2025-11-10T18:33:36,200,0.001560
2025-11-10T18:33:36,200,0.001563
2025-11-10T18:33:36,200,0.001576
2025-11-10T18:33:36,400,0.006580
2025-11-10T18:33:36,400,0.006561
2025-11-10T18:33:36,400,0.006411
2025-11-10T18:33:36,800,0.028578
2025-11-10T18:33:36,800,0.029887
2025-11-10T18:33:36,800,0.029691
2025-11-10T18:33:37,1600,0.128120
2025-11-10T18:33:37,1600,0.119713
2025-11-10T18:33:37,1600,0.115780
2025-11-10T18:33:37,3200,0.468983
2025-11-10T18:33:38,3200,0.495885
2025-11-10T18:33:38,3200,0.485262
2025-11-10T18:33:40,6400,2.008741
2025-11-10T18:33:42,6400,1.955931
2025-11-10T18:33:44,6400,2.018594
2025-11-10T18:33:49,10000,4.825221
2025-11-10T18:33:54,10000,4.738498
2025-11-10T18:33:59,10000,4.823325
2025-11-10T18:34:19,20000,19.901238
2025-11-10T18:34:38,20000,19.526283
2025-11-10T18:34:58,20000,19.653386
2025-11-10T18:35:42,30000,44.491992
2025-11-10T18:36:27,30000,44.487305
2025-11-10T18:37:11,30000,43.851100
2025-11-10T18:38:28,40000,77.671176
2025-11-10T18:39:46,40000,78.164628
2025-11-10T18:41:05,40000,78.983556
2025-11-10T18:42:05,100,0.000380
2025-11-10T18:42:05,100,0.000417
2025-11-10T18:42:05,100,0.000384
2025-11-10T18:42:05,200,0.001552
2025-11-10T18:42:05,200,0.001496
2025-11-10T18:42:05,200,0.001456
2025-11-10T18:42:05,400,0.006284
2025-11-10T18:42:05,400,0.006224
2025-11-10T18:42:05,400,0.006257
2025-11-10T18:42:05,800,0.027610
2025-11-10T18:42:05,800,0.027685
2025-11-10T18:42:05,800,0.027696
2025-11-10T18:42:05,1600,0.118888
2025-11-10T18:42:05,1600,0.116236
2025-11-10T18:42:05,1600,0.114970
2025-11-10T18:42:06,3200,0.471976
2025-11-10T18:42:06,3200,0.473361
2025-11-10T18:42:07,3200,0.468837
2025-11-10T18:42:08,6400,1.896393
2025-11-10T18:42:10,6400,1.922706
2025-11-10T18:42:12,6400,1.901578
2025-11-10T18:42:17,10000,4.720322
2025-11-10T18:42:22,10000,4.665707
2025-11-10T18:42:26,10000,4.747242
2025-11-10T18:42:46,20000,19.310250
2025-11-10T18:43:05,20000,19.514781
2025-11-10T18:43:25,20000,20.026111
2025-11-10T18:44:09,30000,43.964954
2025-11-10T18:44:53,30000,43.334229
2025-11-10T18:45:37,30000,44.197105
2025-11-10T18:46:55,40000,78.292276
2025-11-10T18:48:14,40000,78.714270
2025-11-10T18:49:33,40000,79.467104
